Honolulu (Airport), Hawaii December Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194006,0.57,0.07
194007,0.69,0.18
194008,0.42,-0.42
194009,0.46,-0.37
194010,1.53,0.02
194011,5.99,3.74
194012,-99,-99
194101,0.56,-1.26
194102,0.40,-1.54
194103,0.22,-2.14
194104,0.25,-0.52
194105,0.14,-0.68
194106,0.61,0.11
194107,0.06,-0.45
194108,1.16,0.32
194109,0.22,-0.61
194110,2.87,1.36
194111,0.10,-2.15
194112,0.24,-1.92
194201,0.23,-1.59
194202,2.16,0.22
194203,0.70,-1.66
194204,0.61,-0.16
194205,0.01,-0.81
194206,-99,-99
194207,-99,-99
194208,-99,-99
194209,-99,-99
194210,5.95,4.44
194211,3.46,1.21
194212,9.98,7.82
194301,11.59,9.77
194302,1.35,-0.59
194303,1.70,-0.66
194304,0.18,-0.59
194305,3.66,2.84
194306,0.26,-0.24
194307,0.14,-0.37
194308,0.35,-0.49
194309,0.21,-0.62
194310,0.16,-1.35
194311,0.07,-2.18
194312,0.99,-1.17
194401,0.01,-1.81
194402,3.60,1.66
194403,5.61,3.25
194404,0.01,-0.76
194405,0.57,-0.25
194406,0.14,-0.36
194407,0.26,-0.25
194408,0.00,-0.84
194409,0.05,-0.78
194410,0.19,-1.32
194411,0.50,-1.75
194412,2.60,0.44
194501,0.17,-1.65
194502,0.92,-1.02
194503,0.21,-2.15
194504,4.57,3.80
194505,0.61,-0.21
194506,0.01,-0.49
194507,1.12,0.61
194508,0.42,-0.42
194509,0.39,-0.44
194510,0.09,-1.42
194511,1.52,-0.73
194512,1.67,-0.49
194601,7.08,5.26
194602,2.06,0.12
194603,0.57,-1.79
194604,0.28,-0.49
194605,0.28,-0.54
194606,0.11,-0.39
194607,0.41,-0.10
194608,0.02,-0.82
194609,0.12,-0.71
194610,0.86,-0.65
194611,1.86,-0.39
194612,4.74,2.58
194701,1.20,-0.62
194702,0.40,-1.54
194703,1.28,-1.08
194704,0.47,-0.30
194705,2.30,1.48
194706,0.22,-0.28
194707,0.22,-0.29
194708,0.77,-0.07
194709,2.40,1.57
194710,0.44,-1.07
194711,0.97,-1.28
194712,1.48,-0.68
194801,6.09,4.27
194802,3.26,1.32
194803,0.85,-1.51
194804,1.88,1.11
194805,0.18,-0.64
194806,0.24,-0.26
194807,0.20,-0.31
194808,1.30,0.46
194809,1.05,0.22
194810,0.30,-1.21
194811,4.39,2.14
194812,0.89,-1.27
194901,12.16,10.34
194902,6.41,4.47
194903,0.55,-1.81
194904,0.14,-0.63
194905,0.18,-0.64
194906,0.51,0.01
194907,-99,-99
194908,-99,-99
194909,-99,-99
194910,0.35,-1.16
194911,0.70,-1.55
194912,2.28,0.12
195001,13.24,11.42
195002,1.04,-0.90
195003,0.64,-1.72
195004,5.74,4.97
195005,0.32,-0.50
195006,0.07,-0.43
195007,0.04,-0.47
195008,1.00,0.16
195009,0.50,-0.33
195010,0.68,-0.83
195011,1.92,-0.33
195012,6.53,4.37
195101,1.22,-0.60
195102,2.98,1.04
195103,20.79,18.43
195104,0.50,-0.27
195105,0.24,-0.58
195106,0.38,-0.12
195107,0.25,-0.26
195108,1.14,0.30
195109,0.92,0.09
195110,5.84,4.33
195111,0.23,-2.02
195112,5.30,3.14
195201,4.45,2.63
195202,0.48,-1.46
195203,0.57,-1.79
195204,0.35,-0.42
195205,0.16,-0.66
195206,0.14,-0.36
195207,0.07,-0.44
195208,0.10,-0.74
195209,0.28,-0.55
195210,2.50,0.99
195211,1.22,-1.03
195212,0.39,-1.77
195301,1.26,-0.56
195302,2.87,0.93
195303,1.54,-0.82
195304,0.24,-0.53
195305,0.15,-0.67
195306,0.02,-0.48
195307,0.26,-0.25
195308,0.03,-0.81
195309,0.72,-0.11
195310,0.60,-0.91
195311,0.42,-1.83
195312,1.90,-0.26
195401,1.49,-0.33
195402,3.99,2.05
195403,2.54,0.18
195404,1.98,1.21
195405,0.17,-0.65
195406,0.21,-0.29
195407,1.73,1.22
195408,0.20,-0.64
195409,0.55,-0.28
195410,1.05,-0.46
195411,9.39,7.14
195412,4.06,1.90
195501,2.74,0.92
195502,13.68,11.74
195503,4.37,2.01
195504,0.85,0.08
195505,0.77,-0.05
195506,0.08,-0.42
195507,0.24,-0.27
195508,0.59,-0.25
195509,0.22,-0.61
195510,0.37,-1.14
195511,1.89,-0.36
195512,12.09,9.93
195601,3.58,1.76
195602,3.31,1.37
195603,0.54,-1.82
195604,0.52,-0.25
195605,1.01,0.19
195606,0.15,-0.35
195607,0.12,-0.39
195608,0.53,-0.31
195609,0.14,-0.69
195610,1.82,0.31
195611,7.24,4.99
195612,2.32,0.16
195701,13.33,11.51
195702,1.68,-0.26
195703,0.01,-2.35
195704,1.56,0.79
195705,1.12,0.30
195706,0.13,-0.37
195707,0.39,-0.12
195708,0.37,-0.47
195709,0.07,-0.76
195710,0.12,-1.39
195711,2.62,0.37
195712,2.85,0.69
195801,0.50,-1.32
195802,5.15,3.21
195803,18.52,16.16
195804,0.41,-0.36
195805,0.24,-0.58
195806,0.21,-0.29
195807,0.89,0.38
195808,3.07,2.23
195809,0.48,-0.35
195810,2.89,1.38
195811,0.06,-2.19
195812,2.64,0.48
195901,3.76,1.94
195902,2.24,0.30
195903,0.16,-2.20
195904,0.54,-0.23
195905,0.69,-0.13
195906,0.00,-0.50
195907,0.28,-0.23
195908,3.08,2.24
195909,0.88,0.05
195910,0.65,-0.86
195911,1.49,-0.76
195912,0.40,-1.76
196001,0.49,-1.33
196002,0.51,-1.43
196003,1.48,-0.88
196004,0.01,-0.76
196005,3.85,3.03
196006,0.19,-0.31
196007,0.74,0.23
196008,0.41,-0.43
196009,0.82,-0.01
196010,1.16,-0.35
196011,0.22,-2.03
196012,2.24,0.08
196101,4.17,2.35
196102,0.94,-1.00
196103,0.43,-1.93
196104,0.72,-0.05
196105,0.24,-0.58
196106,0.88,0.38
196107,0.28,-0.23
196108,0.48,-0.36
196109,0.49,-0.34
196110,2.40,0.89
196111,2.06,-0.19
196112,1.24,-0.92
196201,2.20,0.38
196202,2.63,0.69
196203,2.10,-0.26
196204,1.07,0.30
196205,0.32,-0.50
196206,0.11,-0.39
196207,0.13,-0.38
196208,0.32,-0.52
196209,0.66,-0.17
196210,0.70,-0.81
196211,0.03,-2.22
196212,3.32,1.16
196301,10.58,8.76
196302,1.11,-0.83
196303,8.39,6.03
196304,8.93,8.16
196305,3.36,2.54
196306,0.33,-0.17
196307,1.02,0.51
196308,0.03,-0.81
196309,1.47,0.64
196310,1.09,-0.42
196311,0.21,-2.04
196312,1.43,-0.73
196401,2.18,0.36
196402,0.52,-1.42
196403,5.21,2.85
196404,0.89,0.12
196405,0.21,-0.61
196406,0.09,-0.41
196407,1.35,0.84
196408,0.47,-0.37
196409,0.97,0.14
196410,0.35,-1.16
196411,2.37,0.12
196412,5.58,3.42
196501,3.02,1.20
196502,0.80,-1.14
196503,0.99,-1.37
196504,1.48,0.71
196505,7.22,6.40
196506,0.26,-0.24
196507,1.37,0.86
196508,0.88,0.04
196509,0.52,-0.31
196510,3.57,2.06
196511,14.72,12.47
196512,7.98,5.82
196601,1.39,-0.43
196602,3.72,1.78
196603,0.39,-1.97
196604,0.46,-0.31
196605,0.41,-0.41
196606,0.04,-0.46
196607,0.43,-0.08
196608,0.82,-0.02
196609,0.17,-0.66
196610,2.96,1.45
196611,9.44,7.19
196612,2.98,0.82
196701,0.80,-1.02
196702,2.53,0.59
196703,6.79,4.43
196704,1.30,0.53
196705,2.12,1.30
196706,2.43,1.93
196707,1.22,0.71
196708,2.54,1.70
196709,0.43,-0.40
196710,1.54,0.03
196711,2.78,0.53
196712,9.94,7.78
196801,8.17,6.35
196802,2.91,0.97
196803,2.50,0.14
196804,3.15,2.38
196805,1.22,0.40
196806,0.25,-0.25
196807,0.30,-0.21
196808,0.10,-0.74
196809,1.31,0.48
196810,2.13,0.62
196811,5.65,3.40
196812,9.64,7.48
196901,8.21,6.39
196902,0.48,-1.46
196903,3.00,0.64
196904,0.10,-0.67
196905,0.82,0.00
196906,0.23,-0.27
196907,0.64,0.13
196908,0.12,-0.72
196909,0.88,0.05
196910,0.96,-0.55
196911,5.78,3.53
196912,1.34,-0.82
197001,1.81,-0.01
197002,0.77,-1.17
197003,0.07,-2.29
197004,0.75,-0.02
197005,0.22,-0.60
197006,0.23,-0.27
197007,2.02,1.51
197008,0.21,-0.63
197009,0.39,-0.44
197010,1.89,0.38
197011,5.94,3.69
197012,1.24,-0.92
197101,6.19,4.37
197102,2.37,0.43
197103,5.57,3.21
197104,2.19,1.42
197105,0.44,-0.38
197106,2.46,1.96
197107,0.04,-0.47
197108,0.27,-0.57
197109,1.04,0.21
197110,2.28,0.77
197111,0.95,-1.30
197112,2.89,0.73
197201,5.28,3.46
197202,5.00,3.06
197203,2.46,0.10
197204,5.15,4.38
197205,0.12,-0.70
197206,0.80,0.30
197207,0.20,-0.31
197208,0.46,-0.38
197209,0.93,0.10
197210,2.39,0.88
197211,0.59,-1.66
197212,3.59,1.43
197301,0.67,-1.15
197302,0.61,-1.33
197303,0.40,-1.96
197304,0.72,-0.05
197305,0.89,0.07
197306,0.10,-0.40
197307,0.46,-0.05
197308,0.33,-0.51
197309,0.64,-0.19
197310,1.78,0.27
197311,3.73,1.48
197312,3.94,1.78
197401,4.22,2.40
197402,1.29,-0.65
197403,3.49,1.13
197404,4.13,3.36
197405,0.83,0.01
197406,1.53,1.03
197407,0.44,-0.07
197408,0.00,-0.84
197409,2.09,1.26
197410,2.77,1.26
197411,2.69,0.44
197412,0.60,-1.56
197501,6.43,4.61
197502,2.37,0.43
197503,2.02,-0.34
197504,0.52,-0.25
197505,0.20,-0.62
197506,0.04,-0.46
197507,0.40,-0.11
197508,0.03,-0.81
197509,0.11,-0.72
197510,0.19,-1.32
197511,11.54,9.29
197512,0.60,-1.56
197601,1.29,-0.53
197602,6.08,4.14
197603,2.67,0.31
197604,0.72,-0.05
197605,0.27,-0.55
